,PLAYER_ID,TEAM_ID,W,L,MIN,POSS,PCT_BLK,PCT_FGA_3PT,PLAYER_NAME,AGE,PLAYER_HEIGHT,PLAYER_WEIGHT,GP,AST_PCT,SEASON,TEAM_ABBREVIATION
77,2215,1610612737,27,22,593.3433333333334,1107,0.209,0.013999999999999999,Jason Collins,32.0,7-0,255,49,0.051,2010-11,ATL
78,201952,1610612737,36,34,962.5383333333333,1909,0.253,0.158,Jeff Teague,23.0,6-2,180,70,0.23600000000000002,2010-11,ATL
79,2207,1610612737,38,34,2554.405,4787,0.031,0.258,Joe Johnson,30.0,6-7,240,72,0.23,2010-11,ATL
80,2694,1610612737,29,25,653.145,1284,0.085,0.005,Josh Powell,28.0,6-9,240,54,0.059000000000000004,2010-11,ATL
81,2746,1610612737,43,34,2644.83,4987,0.494,0.14800000000000002,Josh Smith,25.0,6-9,240,77,0.168,2010-11,ATL
82,2550,1610612737,24,48,2156.6583333333333,4162,0.07400000000000001,0.302,Kirk Hinrich,30.0,6-4,190,72,0.221,2010-11,ATL
83,101107,1610612737,34,31,1864.55,3500,0.14400000000000002,0.205,Marvin Williams,25.0,6-9,240,65,0.076,2010-11,ATL
84,202377,1610612737,0,3,20.983333333333334,43,0.0,0.16699999999999998,Pape Sy,23.0,6-7,225,3,0.222,2010-11,ATL
85,2585,1610612737,43,36,1243.7816666666668,2367,0.242,0.0,Zaza Pachulia,27.0,6-11,275,79,0.07400000000000001,2010-11,ATL
86,2744,1610612762,39,43,2940.413333333333,5651,0.415,0.0,Al Jefferson,26.0,6-10,280,82,0.09,2010-11,UTA
87,1905,1610612762,33,31,1998.9833333333331,3867,0.29100000000000004,0.18100000000000002,Andrei Kirilenko,30.0,6-9,235,64,0.145,2010-11,UTA
88,101139,1610612762,36,42,1968.618333333333,3804,0.17,0.377,CJ Miles,24.0,6-6,232,78,0.11800000000000001,2010-11,UTA
89,202324,1610612762,25,53,1535.7216666666666,2928,0.38,0.0,Derrick Favors,19.0,6-10,246,78,0.044000000000000004,2010-11,UTA
90,2734,1610612762,24,47,2253.78,4309,0.033,0.221,Devin Harris,28.0,6-3,190,71,0.373,2010-11,UTA
91,2248,1610612762,37,43,1567.35,2975,0.096,0.349,Earl Watson,32.0,6-1,195,80,0.26,2010-11,UTA
92,1922,1610612762,34,28,609.935,1171,0.212,0.0,Francisco Elson,35.0,7-0,240,62,0.09,2010-11,UTA
93,202330,1610612762,33,39,1217.67,2368,0.134,0.253,Gordon Hayward,21.0,6-8,207,72,0.106,2010-11,UTA
94,202379,1610612762,22,27,462.91,912,0.27,0.009000000000000001,Jeremy Evans,23.0,6-9,196,49,0.09,2010-11,UTA
95,201602,1610612762,1,4,69.34,133,0.14300000000000002,0.28,Kyle Weaver,25.0,6-6,201,5,0.212,2010-11,UTA
96,201178,1610612762,29,24,455.94,894,0.34,0.01,Kyrylo Fesenko,24.0,7-1,280,53,0.063,2010-11,UTA
97,202408,1610612762,2,2,18.311666666666667,42,0.25,0.0,Marcus Cousin,24.0,6-11,245,4,0.0,2010-11,UTA
98,2246,1610612762,5,8,168.43,329,0.28600000000000003,0.258,Mehmet Okur,32.0,6-11,265,13,0.179,2010-11,UTA
99,200794,1610612762,36,40,2604.9483333333333,5037,0.212,0.023,Paul Millsap,26.0,6-8,250,76,0.121,2010-11,UTA
100,1952,1610612762,34,34,2097.13,4069,0.052000000000000005,0.413,Raja Bell,34.0,6-5,206,68,0.083,2010-11,UTA
101,101179,1610612762,31,28,716.8016666666666,1351,0.06,0.32899999999999996,Ronnie Price,28.0,6-2,187,59,0.12300000000000001,2010-11,UTA
102,202329,1610612746,31,50,1451.835,2868,0.16899999999999998,0.35200000000000004,Al-Farouq Aminu,20.0,6-9,215,81,0.067,2010-11,LAC
103,201933,1610612746,32,50,3111.473333333333,6078,0.136,0.017,Blake Griffin,22.0,6-10,251,82,0.184,2010-11,LAC
104,2567,1610612746,8,32,447.22833333333335,878,0.344,0.465,Brian Cook,30.0,6-9,250,40,0.057,2010-11,LAC
105,2549,1610612746,11,21,837.54,1669,0.505,0.0,Chris Kaman,29.0,7-0,265,32,0.1,2010-11,LAC
