,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,CFID,CFPARAMS
465,101144,Von Wafer,1610612753,ORL,26.0,33,19,14,0.576,468.98,102.1,39,0.09,0.134,10,0.147,3,0.073,153,109,94,420,1.44,332,271,126,164,338,252,359,338,355,354,358,354,343,136,131,118,149,314,5,"101144,1610612753"
466,201041,Walker Russell,1610612765,DET,29.0,28,12,16,0.429,357.24833333333333,103.0,19,0.056,0.086,18,0.29,1,0.032,141,86,91,248,1.02,355,351,152,308,361,290,411,465,465,296,46,414,412,127,111,113,108,357,5,"201041,1610612765"
467,201961,Wayne Ellington,1610612750,MIN,24.0,51,19,32,0.373,973.31,102.7,85,0.086,0.136,26,0.194,10,0.12,327,298,276,848,2.78,217,271,384,351,232,277,275,352,347,240,232,249,267,241,266,250,257,220,5,"201961,1610612750"
468,202325,Wesley Johnson,1610612750,MIN,24.0,65,26,39,0.4,1468.4633333333334,106.1,153,0.103,0.156,35,0.167,48,0.322,584,398,507,1364,2.61,37,170,431,322,142,379,163,293,301,186,295,53,116,390,335,411,363,232,5,"202325,1610612750"
469,202083,Wesley Matthews,1610612757,POR,25.0,66,28,38,0.424,2227.7083333333335,103.2,168,0.08,0.124,96,0.25,15,0.069,700,592,651,1892,6.04,1,152,424,314,12,295,137,383,384,14,89,207,352,448,460,466,460,63,5,"202083,1610612757"
470,101198,Will Bynum,1610612765,DET,29.0,36,14,22,0.389,513.7266666666667,99.3,46,0.094,0.148,23,0.258,3,0.056,213,123,168,404,2.09,314,334,240,334,327,133,343,317,319,253,81,354,374,173,137,173,144,268,5,"101198,1610612765"
471,2584,Willie Green,1610612737,ATL,30.0,53,32,21,0.604,922.235,102.5,65,0.073,0.116,23,0.155,6,0.091,330,260,231,794,2.72,202,117,228,133,243,266,308,419,408,253,336,301,312,245,240,224,244,223,5,"2584,1610612737"
472,201163,Wilson Chandler,1610612743,DEN,25.0,8,4,4,0.5,214.6,113.1,35,0.161,0.24,6,0.231,6,0.286,78,45,54,154,-0.09,442,430,35,244,395,472,373,121,139,393,127,301,128,82,67,75,77,473,5,"201163,1610612743"
473,202333,Xavier Henry,1610612740,NOH,21.0,45,18,27,0.4,759.0433333333333,100.5,82,0.11,0.169,26,0.236,8,0.118,278,223,132,606,2.7,264,282,322,322,276,175,282,267,267,240,116,275,269,216,210,151,196,225,5,"202333,1610612740"
474,202918,Xavier Silas,1610612755,PHI,24.0,2,1,1,0.5,38.7,101.3,2,0.053,0.074,0,0.0,0,0.0,7,6,10,36,0.13,472,461,6,244,464,220,468,470,471,464,464,441,441,9,14,12,15,446,5,"202918,1610612755"
475,201146,Yi Jianlian,1610612742,DAL,24.0,30,15,15,0.5,203.125,99.8,37,0.173,0.247,7,0.175,8,0.32,70,57,83,184,0.84,345,320,135,244,400,145,369,99,127,383,286,275,117,74,79,106,85,368,5,"201146,1610612742"
476,2216,Zach Randolph,1610612763,MEM,30.0,28,17,11,0.607,734.995,99.5,147,0.215,0.329,21,0.15,4,0.054,268,171,182,632,2.84,355,293,94,128,282,136,177,29,31,265,347,338,378,208,180,186,203,215,5,"2216,1610612763"
477,2585,Zaza Pachulia,1610612737,ATL,28.0,58,34,24,0.586,1640.31,100.0,303,0.193,0.292,55,0.205,29,0.199,563,416,414,1390,6.03,157,90,272,154,111,156,41,59,67,81,200,111,182,381,351,351,368,64,5,"2585,1610612737"
