,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS1,CFID,CFPARAMS
341,203118,Mike Scott,1610612737,ATL,26.0,68,52,16,0.765,1123.0566666666666,84,43,49,174,363,313,243,864,3,16,83,69,925.3,172,31,127,23,257,197,275,218,230,236,243,198,223,386,214,207,264,244,5,"203118,1610612737"
342,203101,Miles Plumlee,1610612749,MIL,26.0,73,34,39,0.466,1194.2366666666667,47,71,36,252,412,387,318,1176,66,20,111,51,999.0,130,177,388,271,245,289,173,256,160,256,285,258,282,42,244,268,304,226,5,"203101,1610612749"
343,203545,Miroslav Raduljica,1610612750,MIN,27.0,5,0,5,0.0,22.75,0,0,0,6,9,5,5,24,0,1,8,2,15.0,469,483,40,483,478,472,463,465,455,15,15,12,17,442,30,32,466,476,5,"203545,1610612750"
344,203141,Mirza Teletovic,1610612751,BKN,29.0,40,16,24,0.4,892.3683333333333,46,48,44,96,265,258,241,766,16,10,74,51,677.8,345,330,212,331,296,294,252,232,301,174,209,196,194,210,155,189,304,304,5,"203141,1610612751"
345,203956,Mitch McGary,1610612760,OKC,23.0,32,20,12,0.625,484.935,42,41,36,156,165,113,148,462,16,12,72,30,485.0,374,288,87,117,370,307,285,256,245,124,112,140,134,210,178,185,362,335,5,"203956,1610612760"
346,2590,Mo Williams,1610612766,CHA,32.0,68,20,48,0.294,1980.1666666666667,110,98,109,118,574,519,501,1740,14,20,162,145,1816.8,172,288,457,413,113,143,119,96,284,342,372,358,379,232,244,397,122,84,5,"2590,1610612766"
347,101145,Monta Ellis,1610612742,DAL,29.0,80,50,30,0.625,2699.245,320,126,251,604,897,826,926,2370,25,36,197,288,2555.5,43,40,286,117,11,4,74,13,28,478,488,491,480,134,373,454,23,27,5,"101145,1610612742"
348,101126,Nate Robinson,1610612743,DEN,31.0,42,22,20,0.524,590.9333333333333,35,20,49,66,224,186,143,434,3,7,76,42,482.5,335,275,158,211,351,333,355,218,341,150,160,135,129,386,120,193,323,338,5,"101126,1610612743"
349,203489,Nate Wolters,1610612749,MIL,24.0,21,14,7,0.667,246.67833333333334,6,2,4,34,84,66,63,196,2,4,18,14,131.3,415,352,52,85,410,431,449,423,395,82,80,83,79,398,89,68,411,419,5,"203489,1610612749"
350,1737,Nazr Mohammed,1610612741,CHI,37.0,23,13,10,0.565,128.04333333333332,5,11,2,22,46,20,38,96,5,3,16,3,97.1,410,361,71,183,433,442,397,442,413,53,35,53,51,353,70,62,457,435,5,"1737,1610612741"
